RF,RS,Id,NumId,Population
data/fastq/P22652_230_trimmed_1.fastq.gz,data/fastq/P22652_230_trimmed_2.fastq.gz,P22652_230,126,default
data/fastq/P22652_231_trimmed_1.fastq.gz,data/fastq/P22652_231_trimmed_2.fastq.gz,P22652_231,127,default
data/fastq/P22652_232_trimmed_1.fastq.gz,data/fastq/P22652_232_trimmed_2.fastq.gz,P22652_232,128,default
data/fastq/P22652_233_trimmed_1.fastq.gz,data/fastq/P22652_233_trimmed_2.fastq.gz,P22652_233,129,default
data/fastq/P22652_234_trimmed_1.fastq.gz,data/fastq/P22652_234_trimmed_2.fastq.gz,P22652_234,130,default
data/fastq/P22652_235_trimmed_1.fastq.gz,data/fastq/P22652_235_trimmed_2.fastq.gz,P22652_235,131,default
data/fastq/P22652_236_trimmed_1.fastq.gz,data/fastq/P22652_236_trimmed_2.fastq.gz,P22652_236,132,default
data/fastq/P22652_237_trimmed_1.fastq.gz,data/fastq/P22652_237_trimmed_2.fastq.gz,P22652_237,133,default
data/fastq/P22652_238_trimmed_1.fastq.gz,data/fastq/P22652_238_trimmed_2.fastq.gz,P22652_238,134,default
data/fastq/P22652_239_trimmed_1.fastq.gz,data/fastq/P22652_239_trimmed_2.fastq.gz,P22652_239,135,default
data/fastq/P22652_240_trimmed_1.fastq.gz,data/fastq/P22652_240_trimmed_2.fastq.gz,P22652_240,136,default
data/fastq/P22652_241_trimmed_1.fastq.gz,data/fastq/P22652_241_trimmed_2.fastq.gz,P22652_241,137,default
data/fastq/P22652_242_trimmed_1.fastq.gz,data/fastq/P22652_242_trimmed_2.fastq.gz,P22652_242,138,default
data/fastq/P22652_243_trimmed_1.fastq.gz,data/fastq/P22652_243_trimmed_2.fastq.gz,P22652_243,139,default
data/fastq/P22652_244_trimmed_1.fastq.gz,data/fastq/P22652_244_trimmed_2.fastq.gz,P22652_244,140,default
data/fastq/P22652_245_trimmed_1.fastq.gz,data/fastq/P22652_245_trimmed_2.fastq.gz,P22652_245,141,default
data/fastq/P22652_246_trimmed_1.fastq.gz,data/fastq/P22652_246_trimmed_2.fastq.gz,P22652_246,142,default
data/fastq/P22652_247_trimmed_1.fastq.gz,data/fastq/P22652_247_trimmed_2.fastq.gz,P22652_247,143,default
data/fastq/P22652_248_trimmed_1.fastq.gz,data/fastq/P22652_248_trimmed_2.fastq.gz,P22652_248,144,default
data/fastq/P22652_249_trimmed_1.fastq.gz,data/fastq/P22652_249_trimmed_2.fastq.gz,P22652_249,145,default
data/fastq/P22652_250_trimmed_1.fastq.gz,data/fastq/P22652_250_trimmed_2.fastq.gz,P22652_250,146,default
data/fastq/P22652_251_trimmed_1.fastq.gz,data/fastq/P22652_251_trimmed_2.fastq.gz,P22652_251,147,default
data/fastq/P22652_252_trimmed_1.fastq.gz,data/fastq/P22652_252_trimmed_2.fastq.gz,P22652_252,148,default
data/fastq/P22652_253_trimmed_1.fastq.gz,data/fastq/P22652_253_trimmed_2.fastq.gz,P22652_253,149,default
data/fastq/P22652_254_trimmed_1.fastq.gz,data/fastq/P22652_254_trimmed_2.fastq.gz,P22652_254,150,default
data/fastq/P22652_255_trimmed_1.fastq.gz,data/fastq/P22652_255_trimmed_2.fastq.gz,P22652_255,151,default
data/fastq/P22652_256_trimmed_1.fastq.gz,data/fastq/P22652_256_trimmed_2.fastq.gz,P22652_256,152,default
data/fastq/P22652_257_trimmed_1.fastq.gz,data/fastq/P22652_257_trimmed_2.fastq.gz,P22652_257,153,default
data/fastq/P22652_258_trimmed_1.fastq.gz,data/fastq/P22652_258_trimmed_2.fastq.gz,P22652_258,154,default
data/fastq/P22652_259_trimmed_1.fastq.gz,data/fastq/P22652_259_trimmed_2.fastq.gz,P22652_259,155,default
data/fastq/P22652_260_trimmed_1.fastq.gz,data/fastq/P22652_260_trimmed_2.fastq.gz,P22652_260,156,default
data/fastq/P22652_261_trimmed_1.fastq.gz,data/fastq/P22652_261_trimmed_2.fastq.gz,P22652_261,157,default
data/fastq/P22652_262_trimmed_1.fastq.gz,data/fastq/P22652_262_trimmed_2.fastq.gz,P22652_262,158,default
data/fastq/P22652_263_trimmed_1.fastq.gz,data/fastq/P22652_263_trimmed_2.fastq.gz,P22652_263,159,default
data/fastq/P22652_264_trimmed_1.fastq.gz,data/fastq/P22652_264_trimmed_2.fastq.gz,P22652_264,160,default
data/fastq/P22652_265_trimmed_1.fastq.gz,data/fastq/P22652_265_trimmed_2.fastq.gz,P22652_265,161,default
data/fastq/P22652_266_trimmed_1.fastq.gz,data/fastq/P22652_266_trimmed_2.fastq.gz,P22652_266,162,default
data/fastq/P22652_267_trimmed_1.fastq.gz,data/fastq/P22652_267_trimmed_2.fastq.gz,P22652_267,163,default
data/fastq/P22652_268_trimmed_1.fastq.gz,data/fastq/P22652_268_trimmed_2.fastq.gz,P22652_268,164,default
data/fastq/P22652_269_trimmed_1.fastq.gz,data/fastq/P22652_269_trimmed_2.fastq.gz,P22652_269,165,default
data/fastq/P22652_273_trimmed_1.fastq.gz,data/fastq/P22652_273_trimmed_2.fastq.gz,P22652_273,166,default
data/fastq/P22652_274_trimmed_1.fastq.gz,data/fastq/P22652_274_trimmed_2.fastq.gz,P22652_274,167,default
